"";"H1";"H10";"H11";"H12";"H13";"H14";"H15";"H16_1";"H16_2";"H16_3";"H16_4";"H16_5";"H17_1";"H17_2";"H18_1";"H18_2";"H18_3";"H18_4";"H18_5";"H18_6";"H19_1";"H19_2";"H19_3";"H19_4";"H19_5";"H2";"H20_1";"H20_2";"H20_3";"H20_4";"H20_5";"H20_6";"H20_7";"H20_8";"H21_1";"H21_10";"H21_11";"H21_12";"H21_2";"H21_3";"H21_4";"H21_5";"H21_6";"H21_7";"H21_8";"H21_9";"H22_1";"H22_10";"H22_11";"H22_12";"H22_13";"H22_14";"H22_15";"H22_16";"H22_2";"H22_3";"H22_4";"H22_5";"H22_6";"H22_7";"H22_8";"H22_9";"H23_1";"H23_2";"H23_3";"H23_4";"H23_5";"H23_6";"H24";"H25";"H26";"H27";"H28";"H29";"H3";"H30";"H31";"H32";"H33";"H34";"H35";"H36";"H37";"H38";"H39";"H40";"H41";"H42";"H43";"H44";"H45";"H46";"H47";"H48";"H49";"H4_1";"H4_2";"H4_3";"H4_4";"H4_5";"H4_6";"H4_7";"H4_8";"H50";"H51";"H52";"H53";"H54";"H55";"H56";"H57";"H58";"H59";"H5_1";"H5_2";"H6";"H60";"H61";"H62";"H63";"H64";"H65";"H66";"H67";"H68";"H69";"H7";"H70";"H71";"H72";"H73";"H74";"H75";"H76";"H77";"H78";"H79";"H8";"H80";"H81";"H82";"H83";"H84";"H85";"H9";"ID"
"19";"56929";"56,9";"102,9";"28,9";"0,024";"278";"-5";"0,26";"0,03";"0,35";"0,15";"0,21";"0,43";"0,57";"0,41";"0,31";"0,19";"0,06";"0,02";"0,01";"0,09";"0,33";"0,38";"0,2";"0";"56929";"0,56";"0,07";"0,02";"0,26";"0,07";"0,01";"0";"0";"0,05";"0,01";"0";"0,02";"0,18";"0,03";"0,29";"0,05";"0";"0,26";"0,07";"0,02";"0,04";"0,06";"0,08";"0,11";"0,14";"0,03";"0";"0";"0,09";"0,12";"0,07";"0,04";"0,05";"0,05";"0,06";"0,04";"0,05";"0,16";"0,57";"0,21";"0,01";"0";"1601,97";"0,39";"0,47";"0,27";"0,25";"181,96";"2";"2654,81";"2739,26";"1108,19";"290,12";"0";"2";"1";"1";"2";"";"2";"6";"14,9";"9";"171";"3";"11520";"0";"0";"2";"0,106273";"0,044599";"0,049114";"0,143196";"0,178275";"0,12094";"0,146902";"0,210701";"30";"2";"";"0";"0";"0";"2";"0";"0";"9997";"0,533788";"0,466212";"0,127";"9997";"19";"1";"28";"9";"0";"0";"9997";"0";"0";"0,179";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,637";"0";"0";"";"0";"0";"";"0,184";"93"
"18";"1498";"61,1";"68";"24,7";"0,0234";"-9";"17";"0,26";"0";"0,71";"0,02";"0,01";"0,24";"0,76";"0,03";"0,24";"0,13";"0,28";"0,19";"0,12";"0,18";"0,39";"0,3";"0,13";"0";"11768";"0,4";"0,07";"0,03";"0,28";"0,12";"0,07";"0,03";"0";"0,05";"0,1";"0";"0,02";"0,1";"0,03";"0,17";"0,02";"0,08";"0,28";"0,12";"0,03";"0,01";"0,07";"0,05";"0,08";"0,08";"0,5";"0";"0";"0";"0";"0";"0,08";"0";"0,02";"0,07";"0,04";"0,02";"0,34";"0,52";"0,12";"0";"0";"1107,54";"0,67";"0,54";"0,02";"0,48";"970,79";"4";"2784,65";"3104,24";"1113,5";"533,97";"0";"2";"1";"1";"2";"";"2";"2";"20,29";"5";"161";"2";"3800";"0";"0";"1";"0,110979";"0,07019";"0,080133";"0,162475";"0,151428";"0,138001";"0,114038";"0,172757";"13";"2";"";"0";"0";"0";"0";"0";"5";"0";"0,4998";"0,5002";"0,136";"1";"0";"1";"0";"1";"0";"0";"9997";"0";"1";"0,226";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,621";"0";"0";"";"0";"0";"";"0,154";"94"
"117";"292732";"50,5";"98,7";"21,2";"0,0198";"-188";"165";"0,31";"0,04";"0,48";"0,08";"0,09";"0,34";"0,66";"0,28";"0,31";"0,2";"0,16";"0,04";"0,01";"0,09";"0,13";"0,35";"0,42";"0,01";"292732";"0,54";"0,05";"0,04";"0,21";"0,13";"0,02";"0";"0,02";"0,11";"0,03";"0,02";"0,06";"0,15";"0,06";"0,17";"0,03";"0";"0,21";"0,13";"0,04";"0,04";"0,08";"0,13";"0,15";"0,16";"0,16";"0";"0,01";"0,01";"0,02";"0,02";"0,04";"0,05";"0,04";"0,05";"0,04";"0,02";"0,11";"0,56";"0,23";"0,01";"0,07";"1103,2";"0,51";"0,65";"0,62";"0,11";"363,31";"2";"4263,21";"4780,09";"1468,31";"605,63";"99997";"1";"2";"2";"2";"";"1";"37";"13,37";"17";"152";"16";"317167";"11";"0";"9";"0,083117";"0,040018";"0,054346";"0,154401";"0,153975";"0,117992";"0,134659";"0,261492";"14";"2";"";"0";"9997";"40";"0";"0";"10";"0";"0,467";"0,533";"0,123";"9997";"19";"1";"173";"9997";"4";"2";"2";"0";"2";"0,169";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0,665";"0";"0";"";"0";"0";"";"0,167";"95"
"116";"306826";"55,6";"137,6";"32,2";"0,0543";"-947";"-131";"0,25";"0,1";"0,45";"0,1";"0,11";"0,38";"0,62";"0,21";"0,26";"0,22";"0,19";"0,07";"0,04";"0,24";"0,44";"0,21";"0,11";"0";"306826";"0,35";"0,08";"0,08";"0,28";"0,1";"0,09";"0,01";"0,01";"0,01";"0,1";"0,01";"0,03";"0,06";"0,03";"0,23";"0,06";"0";"0,28";"0,1";"0,08";"0,01";"0,11";"0,21";"0,17";"0,1";"0,05";"0";"0,01";"0,01";"0,01";"0,04";"0,05";"0,06";"0,04";"0,07";"0,05";"0,04";"0,3";"0,59";"0,06";"0";"0,01";"1168,42";"0,23";"0,45";"0,24";"0,21";"365,06";"2";"4329,54";"4607,04";"1253,31";"445,89";"0";"1";"2";"2";"2";"";"2";"35";"12,78";"37";"322";"29";"374911";"12";"0";"2";"0,080717";"0,040042";"0,054311";"0,15659";"0,142517";"0,129497";"0,160117";"0,236209";"9";"2";"";"12";"5";"3";"6";"3";"1";"0";"0,472";"0,528";"0,038";"93";"52";"1";"765";"94";"2";"1";"3";"0";"0";"0,151";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0,643";"0";"0";"";"0";"0";"";"0,207";"96"
"48";"7579";"54,5";"87,6";"25,4";"0,017";"-53";"0";"0,26";"0";"0,55";"0,11";"0,08";"0,45";"0,55";"0,14";"0,28";"0,3";"0,19";"0,07";"0,03";"0,16";"0,34";"0,31";"0,19";"0";"26242";"0,32";"0,06";"0,11";"0,39";"0,1";"0,02";"0";"0";"0,04";"0,02";"0";"0";"0,03";"0,07";"0,19";"0,05";"0";"0,39";"0,1";"0,11";"0";"0,13";"0,16";"0,1";"0,14";"0,02";"0";"0";"0,03";"0,06";"0,1";"0,08";"0,05";"0";"0,03";"0,1";"0,05";"0,3";"0,58";"0,04";"0";"0,02";"907,28";"0,61";"0,64";"0,1";"0,69";"787,62";"5";"2883,32";"3528,44";"1288,26";"457,63";"0";"1";"2";"2";"2";"";"2";"8";"14,95";"9";"169";"1";"11329";"1";"0";"6";"0,101201";"0,050534";"0,062013";"0,164797";"0,14936";"0,116638";"0,161235";"0,194221";"30";"2";"";"3";"1";"0";"0";"0";"0";"0";"0,482";"0,517";"0,225";"0";"0";"0";"4";"17";"0";"0";"9997";"1";"3";"0,188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,647";"1";"20";"Język podstawowy i srednio zaawansowany.";"0";"0";"";"0,165";"97"
"49";"11237";"49,2";"99,4";"24,5";"0,0185";"-29";"1";"0,26";"0,04";"0,65";"0,01";"0,04";"0,26";"0,74";"0,04";"0,19";"0,33";"0,26";"0,06";"0,11";"0,13";"0,29";"0,5";"0,08";"0,01";"18197";"0,42";"0,01";"0,14";"0,21";"0,13";"0,08";"0";"0";"0,01";"0,08";"0";"0";"0,1";"0,03";"0,26";"0,04";"0";"0,21";"0,13";"0,14";"0";"0,16";"0,16";"0,11";"0,06";"0,25";"0";"0";"0";"0";"0,04";"0,01";"0,03";"0,08";"0,04";"0,05";"0";"0,26";"0,65";"0,06";"0";"0,03";"907,28";"0,62";"0,63";"0,42";"0,24";"534,22";"5";"2427,87";"2767,65";"944,83";"498,82";"0";"1";"2";"2";"2";"";"2";"5";"8,13";"4";"106";"1";"7732";"0";"0";"1";"0,080804";"0,048767";"0,062294";"0,179051";"0,144612";"0,129928";"0,162588";"0,191955";"16";"2";"";"1";"0";"1";"1";"0";"0";"0";"0,478";"0,521";"0,148";"0";"1";"0";"2";"13";"0";"0";"9997";"0";"0";"0,165";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,67";"0";"0";"";"0";"0";"";"0,164";"98"
"46";"1346";"59,5";"108,8";"31";"0,0237";"-36";"0";"0,26";"0";"0,59";"0";"0,15";"0,5";"0,5";"0,11";"0,29";"0,16";"0,18";"0,21";"0,04";"0,22";"0,34";"0,33";"0,11";"0";"4623";"0,36";"0";"0";"0,43";"0,18";"0,03";"0";"0";"0";"0,03";"0";"0,04";"0";"0,2";"0,12";"0";"0";"0,43";"0,18";"0";"0";"0,14";"0,2";"0,07";"0,12";"0,05";"0";"0";"0";"0";"0";"0,11";"0,04";"0,08";"0,08";"0,09";"0";"0,18";"0,53";"0,21";"0";"0,08";"1178,73";"0,67";"0,39";"0";"0,55";"431,79";"4";"2748,29";"2779,01";"1035,99";"384,78";"0";"2";"2";"2";"2";"";"2";"1";"12,5";"1";"140";"0";"99999997";"0";"0";"3";"0,083712";"0,058404";"0,061216";"0,142332";"0,149903";"0,123729";"0,149903";"0,230803";"15";"2";"";"0";"0";"0";"3";"0";"0";"0";"0,493";"0,507";"0,138";"0";"0";"0";"0";"0";"0";"0";"9997";"0";"0";"0,179";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,627";"0";"0";"";"0";"0";"";"0,195";"99"
"86";"1416";"55,6";"49";"18,3";"0,0266";"-28";"-1";"0,44";"0";"0,42";"0,06";"0,08";"0,31";"0,69";"0,14";"0,28";"0,18";"0,21";"0,08";"0,11";"0,38";"0,36";"0,15";"0,11";"0";"3728";"0,37";"0,06";"0,16";"0,26";"0,12";"0,03";"0";"0";"0,06";"0,03";"0";"0";"0,02";"0";"0,08";"0,12";"0,14";"0,26";"0,12";"0,16";"0";"0,13";"0,23";"0,09";"0,08";"0,06";"0";"0";"0";"0,06";"0,03";"0,1";"0,06";"0,08";"0,03";"0,06";"0,08";"0,28";"0,61";"0,03";"0";"0";"1243,12";"0,5";"0,3";"0";"0,47";"1075,65";"4";"3222,14";"3310,63";"1172,24";"682,42";"0";"2";"2";"2";"2";"";"2";"1";"8,26";"1";"174";"1";"6350";"0";"0";"4";"0,121781";"0,069742";"0,086373";"0,191792";"0,123659";"0,128219";"0,137607";"0,140826";"20";"2";"";"1";"1";"0";"5";"1";"2";"0";"0,508";"0,491";"0,238";"1";"0";"0";"0";"3";"0";"0";"9997";"0";"0";"0,24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,643";"0";"0";"";"0";"0";"";"0,118";"100"
"44";"5057";"56,6";"106,6";"29,2";"0,0357";"31";"-6";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"5057";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"1239,2";"997";"997";"997";"997";"819,6";"2";"2944,32";"3366,11";"788,92";"481,54";"0";"1";"2";"2";"2";"";"2";"1";"5,76";"1";"190";"1";"32489";"0";"0";"0";"0,087008";"0,05003";"0,059917";"0,151671";"0,15088";"0,111331";"0,177576";"0,211588";"0";"2";"";"0";"1";"1";"0";"0";"1";"0";"0,47";"0,53";"0,191";"1";"0";"0";"0";"0";"0";"0";"9997";"0";"0";"0,175";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,639";"0";"0";"";"0";"0";"";"0,187";"101"
"45";"2069";"48,4";"79,1";"21,4";"0,0175";"-3";"0";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"8324";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"997";"907,28";"997";"997";"997";"997";"1021,42";"5";"3350,54";"3629,26";"1043,12";"536,72";"99997";"2";"2";"2";"2";"";"2";"3";"8,65";"4";"113";"1";"6320";"0";"0";"1";"0,101015";"0,046883";"0,068149";"0,171097";"0,133881";"0,161914";"0,150797";"0,166264";"12";"2";"";"3";"0";"0";"0";"0";"2";"1";"0,5";"0,499";"0,179";"0";"0";"0";"0";"0";"0";"0";"9997";"0";"1";"0,182";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,674";"0";"0";"";"0";"0";"";"0,144";"102"
